jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
rock-corpus_191.jams,Will You Love Me Tomorrow,Bee Gees,Tapestry Revisited: A Tribute to Carole King,11,161,2023,d545da4a-0ab9-4423-89bc-d6936342ae75,QZYGC2306888,2471438291,https://www.deezer.com/track/2471438291,https://music.youtube.com/watch?v=p8VDWxLj5Wk,,
rock-corpus_172.jams,The Message,Sammy Hagar,Ten 13,25,225,2021,f5b003b2-0a57-4132-a51f-cf74ffb831d7,USUG12103685,1550966552,https://www.deezer.com/track/1550966552,https://music.youtube.com/watch?v=Voz6-bo44f4,,
rock-corpus_49.jams,For What It's Worth,Buffalo Springfield,Buffalo Springfield,1,160,2007,,USEE10900072,2813176,https://www.deezer.com/track/2813176,https://music.youtube.com/watch?v=1eD-8NTwP9I,,
rock-corpus_17.jams,Blue Suede Shoes,Hurriganes,Sixteen Golden Greats,11,65,2023,51699b25-0cdb-4be3-9b4c-538b3312832c,GPHJP2300143,2390400915,https://www.deezer.com/track/2390400915,https://music.youtube.com/watch?v=Jyw7VJOcmqk,,
rock-corpus_147.jams,Sabotage,Beastie Boys,B-Boy History,14,178,2005,73ef25fd-89c6-452e-b02c-90bf8bcb95b7,USCA20501226,3119536,https://www.deezer.com/track/3119536,https://music.youtube.com/watch?v=B8CD2Rco8cQ,,
rock-corpus_158.jams,Summer Babe,Pavement,Slanted and Enchanted,12,195,2010,ba858394-dc04-46e4-a4e8-8eae4d9ad65f,USMTD1090012,5401205,https://www.deezer.com/track/5401205,https://music.youtube.com/watch?v=skGqpC0WYSk,,
rock-corpus_116.jams,Mr. Tambourine Man (Byrds),The Byrds,Las 100 canciones más Rolling de la historia,7,144,2015,4c9ccb98-be20-443f-a55d-9dff54d98a12,USK4W0727007,103207622,https://www.deezer.com/track/103207622,https://music.youtube.com/watch?v=ncSl9ljLsYs,,
rock-corpus_55.jams,Go Your Own Way,Albert Cummings,From the Heart,5,223,2007,42b50b7d-d29e-4ed9-9768-bfda4e46b891,USWB10400050,63480990,https://www.deezer.com/track/63480990,https://music.youtube.com/watch?v=MTIkFwMuiTw,,
rock-corpus_198.jams,Your Song,Hey! Say! JUMP,Fab! -Music speaks.-,1,241,2008,624ebc5b-344e-4760-b8c9-7fefc980cc1a,GBAMB9500072,880181,https://www.deezer.com/track/880181,https://music.youtube.com/watch?v=FT3D1Cu6g10,,
rock-corpus_26.jams,California Dreamin',Dream Warriors,Subliminal Simulation,7,162,2014,6602daa5-7cbe-4848-9559-44f9b2bf2cdf,USMC16532697,2321278,https://www.deezer.com/track/2321278,https://music.youtube.com/watch?v=oU6uUEwZ8FM,,
rock-corpus_105.jams,London Calling,The Clash,London Calling,1,200,1979,,GBARL1200680,69924599,https://www.deezer.com/track/69924599,https://music.youtube.com/watch?v=LC2WpBcdM_A,,
rock-corpus_108.jams,Loser,And One,Best of And One,1,235,2004,7c54b55a-e2d3-4e52-aa40-097e752f4744,USGF19463401,422033092,https://www.deezer.com/track/422033092,https://music.youtube.com/watch?v=5Z1-5wNjMgs,,
rock-corpus_168.jams,That'll Be The Day,Buddy Holly,From the Original Master Tapes,1,324,2014,ffe1e560-93ca-44af-a2cd-eb88bb82e952,QM7281450273,90174113,https://www.deezer.com/track/90174113,https://music.youtube.com/watch?v=M4TfFTmITLo,,
